event_id,member_id,coach_id,attended,points_earned,session_type,notes,recorded_by
10,123.0,,1,5,full_day,Duration: 6h 16m 20s,system_import
10,456.0,,1,5,full_day,Duration: 6h 29m 20s,system_import
10,304.0,,1,5,full_day,Duration: 6h 25m 12s,system_import
10,708.0,,1,5,full_day,Duration: 5h 22m 52s,system_import
10,15.0,,1,5,full_day,Duration: 2h 55m 40s,system_import
10,491.0,,1,5,full_day,Duration: 1h 15m 1s,system_import
10,8.0,,1,5,full_day,Duration: 5h 14m 24s,system_import
10,19.0,,1,5,full_day,Duration: 4h 55m 58s,system_import
10,271.0,,1,5,full_day,Duration: 5h 22m 10s,system_import
10,617.0,,1,5,full_day,Duration: 6h 17m 58s,system_import
10,4.0,,1,5,full_day,Duration: 6h 19m 17s,system_import
10,334.0,,1,5,full_day,Duration: 4h 10s,system_import
10,707.0,,1,5,full_day,Duration: 5h 24m 20s,system_import
10,150.0,,1,5,full_day,Duration: 3h 5m 33s,system_import
10,130.0,,1,5,full_day,Duration: 5h 43m 12s,system_import
10,118.0,,1,5,full_day,Duration: 5h 8m 49s,system_import
10,572.0,,1,5,full_day,Duration: 4h 33m 45s,system_import
10,722.0,,1,5,full_day,Duration: 5h 53m 6s,system_import
10,547.0,,1,5,full_day,Duration: 47m 11s,system_import
10,,81.0,1,10,full_day,Duration: 4h 50m 12s,system_import
10,21.0,,1,5,full_day,Duration: 5h 50m 33s,system_import
10,732.0,,1,5,full_day,Duration: 5h 52m 27s,system_import
10,429.0,,1,5,full_day,Duration: 4h 24m 20s,system_import
10,12.0,,1,5,full_day,Duration: 4h 51m 16s,system_import
10,279.0,,1,5,full_day,Duration: 6h 17m 2s,system_import
10,112.0,,1,5,full_day,Duration: 5h 33m 21s,system_import
10,25.0,,1,5,full_day,Duration: 6h 16m 54s,system_import
10,258.0,,1,5,full_day,Duration: 6h 16m 44s,system_import
10,5.0,,1,5,full_day,Duration: 6h 16m 38s,system_import
10,379.0,,1,5,full_day,Duration: 6h 16m 8s,system_import
10,469.0,,1,5,full_day,Duration: 6h 16m 6s,system_import
10,2.0,,1,5,full_day,Duration: 4h 53m 55s,system_import
10,129.0,,1,5,full_day,Duration: 4h 47m 39s,system_import
10,223.0,,1,5,full_day,Duration: 4h 15m 25s,system_import
10,700.0,,1,5,full_day,Duration: 5h 14m 44s,system_import
10,,68.0,1,10,full_day,Duration: 51m 52s,system_import
10,653.0,,1,5,full_day,Duration: 5h 49m 37s,system_import
10,177.0,,1,5,full_day,Duration: 5h 3m 13s,system_import
10,721.0,,1,5,full_day,Duration: 5h 22m 57s,system_import
10,270.0,,1,5,full_day,Duration: 6h 15m 33s,system_import
10,24.0,,1,5,full_day,Duration: 4h 13m 56s,system_import
10,77.0,,1,5,full_day,Duration: 4h 57m 38s,system_import
10,104.0,,0,0,full_day,Duration: 19m 24s,system_import
10,94.0,,1,5,full_day,Duration: 6h 15m 12s,system_import
10,51.0,,1,5,full_day,Duration: 4h 48m 44s,system_import
10,402.0,,1,5,full_day,Duration: 5h 47m 52s,system_import
10,128.0,,1,5,full_day,Duration: 5h 36m 20s,system_import
10,655.0,,1,5,full_day,Duration: 5h 19m 14s,system_import
10,59.0,,1,5,full_day,Duration: 3h 52m 50s,system_import
10,152.0,,1,5,full_day,Duration: 5h 47m 43s,system_import
10,501.0,,1,5,full_day,Duration: 5h 43m 19s,system_import
10,524.0,,1,5,full_day,Duration: 6h 14m 52s,system_import
10,121.0,,1,5,full_day,Duration: 5h 41m 36s,system_import
10,42.0,,1,5,full_day,Duration: 5h 48m 59s,system_import
10,53.0,,1,5,full_day,Duration: 3h 37m 55s,system_import
10,68.0,,1,5,full_day,Duration: 5h 21m 29s,system_import
10,656.0,,1,5,full_day,Duration: 3h 59m 2s,system_import
10,358.0,,1,5,full_day,Duration: 4h 51m 18s,system_import
10,303.0,,1,5,full_day,Duration: 5h 18m 39s,system_import
10,711.0,,1,5,full_day,Duration: 6h 14m 41s,system_import
10,34.0,,1,5,full_day,Duration: 5h 47m 35s,system_import
10,190.0,,0,0,full_day,Duration: 7m 17s,system_import
10,374.0,,1,5,full_day,Duration: 5h 48m 42s,system_import
10,284.0,,1,5,full_day,Duration: 5h 16m 17s,system_import
